ulysses22.tsp,8194.0,300.002,16.840153999714815,10586,0.0,50.94823898474262,8308,0.002,18.46570654498788
gr229.tsp,182845.0,300.001,35.841220784237976,162430,0.004,20.67428418597049,179335,0.012,33.23353293413174
kroD100.tsp,148492.0,300.0,597.3419742650511,26906,0.001,26.354841739457125,28553,0.002,34.089414858645625
kroA100.tsp,172822.0,300.0,712.0571374870782,26991,0.001,26.825486326473076,30472,0.001,43.18203176393196
berlin52.tsp,18847.0,300.001,149.89392734022806,8962,0.0,18.827897109520023,10386,0.0,37.70883054892602
ulysses16.tsp,6859.0,15.757,0.0,9988,0.0,45.61889488263595,7788,0.0,13.544248432716138
eil51.tsp,1045.0,300.067,145.30516431924883,512,0.0,20.187793427230048,591,0.001,38.732394366197184
pcb442.tsp,229554.0,300.001,352.073732718894,61551,0.005,21.21588089330025,73876,0.014,45.48820355271968
ch150.tsp,48163.0,300.0,637.7910539215686,7784,0.0,19.240196078431374,8914,0.001,36.55024509803921
dsj1000.tsp,5.52275486E8,300.005,2859.7251894029528,24630468,0.004,31.998284215684635,25525517,0.026,36.794982852875144
d493.tsp,112695.0,300.001,221.96731615336267,43713,0.001,24.887149305753955,45450,0.008,29.849722872978685
gr202.tsp,72655.0,300.001,80.91384462151395,49899,0.0,24.250498007968126,52615,0.001,31.01344621513944
burma14.tsp,3323.0,0.972,0.0,4048,0.0,21.817634667469154,4003,0.0,20.46343665362624
