nodi, tempo
10, 0
20, 0
40, 0
80, 0
100, 0.25
200, 0
400, 0
800, 0.75
1000, 1
2000, 1
4000, 1.5
8000, 6.75
10000, 7
20000, 11.5
40000, 29.5
80000, 57.25
100000, 99.75
